Rank,Player,Position,School,Weight,Height,Versatility,Pressure Ability,Run Defense,Football IQ,Zone Cov.,Man Cov.,Scheme Fit
1,Caleb Downs,SAF,Ohio State,205,Jun-00,98,,94,95,92,90,
2,Sonny Styles,LB,Ohio State,243,"6'4""",89,91,96,93,,,
3,Mansoor Delane,CB,LSU,190,Jun-00,86,,84,86,90,88,
4,Jermod McCoy,CB,Tennessee,193,Jun-00,86,,85,87,91,87,
5,Avieon Terrell,CB,Clemson,180,"5'11""",92,,90,87,90,86,
6,Emmanuel McNeil-Warren,SAF,Toledo,182,"6'2""",91,,87,89,89,85,
7,Kayden McDonald,DT,Ohio State,326,"6'3""",83,78,97,89,,,
8,Peter Woods,DT,Clemson,315,"6'3""",91,84,88,87,,,
9,Lee Hunter,DT,Texas Tech,321,"6'4""",85,86,90,87,,,
10,Caleb Banks,DT,Florida,330,"6'6""",87,88,77,83,,,
11,Colton Hood,CB,Tennessee,195,Jun-00,83,,81,84,84,91,
12,Brandon Cisse,CB,South Carolina,190,Jun-00,84,,84,83,85,87,
13,Keldric Faulk,EDGE,Auburn,285,"6'6""",87,79,90,85,,,
14,Dillon Thieneman,SAF,Oregon,205,Jun-00,90,,91,93,90,89,
15,Christen Miller,DT,Georgia,305,"6'4""",90,82,88,86,,,
16,D'Angelo Ponds,CB,Indiana,170,"5'9""",85,,86,90,90,87,
17,AJ Haulcy,SAF,LSU,222,Jun-00,86,,87,92,90,86,
18,Gabe Jacas,EDGE,Illinois,270,"6'3""",89,87,85,85,,,
19,Keith Abney II,CB,Arizona State,190,Jun-00,85,,84,86,85,88,
20,Gracen Halton,DT,Oklahoma,292,"6'2""",88,91,88,88,,,
21,Bud Clark,SAF,TCU,188,Jun-00,86,,85,92,90,87,
22,Genesis Smith,SAF,Arizona,204,"6'2""",87,,84,87,87,86,
23,Chris Johnson,CB,San Diego State,185,Jun-00,87,,84,88,90,86,
24,Kyle Louis,LB,Pittsburgh,225,Jun-00,87,86,86,86,,,
25,Tacario Davis,CB,Washington,194,"6'4""",84,,83,85,85,86,
26,Jacob Rodriguez,LB,Texas Tech,231,"6'1""",86,85,88,90,,,
27,Julian Neal,CB,Arkansas,200,"6'2""",84,,81,84,85,85,
28,Jalon Kilgore,SAF,South Carolina,211,"6'1""",88,,86,85,84,85,
29,Will Lee III,CB,Texas A&M,189,"6'1""",85,,83,87,85,87,
30,Daylen Everette,CB,Georgia,190,"6'1""",85,,85,86,87,86,
31,Devin Moore,CB,Florida,198,"6'3""",88,,87,86,90,84,
32,VJ Payne,SAF,Kansas State,206,"6'3""",88,,85,87,87,91,
33,Zakee Wheatley,SAF,Penn State,200,"6'2""",89,,88,87,85,84,
34,Zane Durant,DT,Penn State,290,"6'1""",85,86,84,86,,,
35,DeMonte Capehart,DT,Clemson,313,"6'5""",85,84,85,84,,,
